id,DataID,ClassName,datatype,uniqueid,name,latitude,longitude
2889,102,School,SCH,SCH102,GGHS SHEEN BAGH,33.77011657,72.32611477
2890,103,School,SCH,SCH103,GGHSS ATTOCK CITY NO.1,33.76852135,72.35833163
2891,104,School,SCH,SCH104,GGHSS MIRZA,33.76870573,72.3939693
2892,105,School,SCH,SCH105,GGHSS PAC F-6 KAMRA,33.84052455,72.40297079
2893,106,School,SCH,SCH106,GHS (ISLAMIA) ATTOCK,33.77173662,72.35381663
2894,107,School,SCH,SCH107,GHS (MC) ATTOCK CITY,33.7700068,72.3583201
2895,108,School,SCH,SCH108,GHS AKHORI,33.69117631,72.45315354
2896,109,School,SCH,SCH109,GHS BOLIAN WAL,33.74740164,72.49584724
2897,110,School,SCH,SCH110,GHS BOOTA,33.70464491,72.41030709
2898,111,School,SCH,SCH111,GHS CHHOI BANGLA,33.7303372,72.23920194
2899,112,School,SCH,SCH112,GHS DAKHNAIR (ATTOCK),33.83604686,72.27104412
2900,113,School,SCH,SCH113,GHS FAQIR ABAD,33.83393168,72.50039399
2901,114,School,SCH,SCH114,GHS GARYALA,33.75731388,72.26959612
2902,115,School,SCH,SCH115,GHS GOLRA,33.77733218,72.48731452
2903,116,School,SCH,SCH116,GHS HAJI SHAH,33.89077842,72.32351303
2904,117,School,SCH,SCH117,GHS KAMRA KALAN,33.85872352,72.39771932
2905,118,School,SCH,SCH118,GHS KAWA,33.75578284,72.45551527
2906,119,School,SCH,SCH119,GHS MARI KANJOOR,33.74734246,72.34691838
2907,120,School,SCH,SCH120,GHS MIRZA,33.77095342,72.39517093
2908,121,School,SCH,SCH121,GHS PILOT ATTOCK,33.7705362,72.35826184
2909,122,School,SCH,SCH122,GHS SHAKAR DARA,33.77949357,72.3293227
2910,123,School,SCH,SCH123,GHS SHEEN BAGH,33.76954971,72.33001469
2911,124,School,SCH,SCH124,GHS SOJHANDA,33.75936525,72.09148532
2912,125,School,SCH,SCH125,GHSS ATTOCK NO.2,33.77820075,72.35938489
2913,126,School,SCH,SCH126,GHSS DAURDAD,33.72962983,72.53354982
2914,127,School,SCH,SCH127,GHSS F-6 PAC KAMRA,33.83369029,72.392537
2915,128,School,SCH,SCH128,GGCMS SHAKAR DARA,33.77746569,72.33507845
2916,129,School,SCH,SCH129,GGES BROTHA,33.76852298,72.25846173
2917,130,School,SCH,SCH130,GGES PIND GHULAM KHAN,33.75720441,72.35797942
2918,131,School,SCH,SCH131,GGPS APWA,33.77185702,72.35717859
2919,132,School,SCH,SCH132,GGPS DHAIR,33.7939389,72.24610935
2920,133,School,SCH,SCH133,GGPS DHOK BANARAS,33.80527011,72.27370528
2921,134,School,SCH,SCH134,GGPS DHOK SHARFA,33.75278413,72.37267792
2922,135,School,SCH,SCH135,GGPS JABA (ATTOCK),33.81407896,72.24628352
2923,136,School,SCH,SCH136,GGPS SHAKARDARA NO. 2,33.77799059,72.32853651
2924,137,School,SCH,SCH137,GMPS GARYALA,33.75560487,72.25575225
2925,138,School,SCH,SCH138,GMPS MOHALLAH SHAH ABAD,33.76144333,72.35261451
2926,139,School,SCH,SCH139,GMPS NOOR PUR KARAM ALIA,33.82319468,72.27379987
2927,140,School,SCH,SCH140,GES BROTHA,33.76879081,72.25896783
2928,141,School,SCH,SCH141,GES DHOK HAJI AHMED,33.76745232,72.30131977
2929,142,School,SCH,SCH142,GPS BAGH NELAB,33.75830953,72.19410054
2930,143,School,SCH,SCH143,GPS CHOI,33.72507691,72.21834898
2931,144,School,SCH,SCH144,GPS DHAIR,33.79122019,72.24555194
2932,145,School,SCH,SCH145,GPS DHERI KOT,33.72106443,72.30132201
2933,146,School,SCH,SCH146,GPS DHOK BHURA,33.72953693,72.28587075
2934,147,School,SCH,SCH147,GPS DHOK GAMA,33.7753061,72.31565851
2935,148,School,SCH,SCH148,GPS GHORAMAR,33.76057831,72.11566642
2936,149,School,SCH,SCH149,GPS JABA (DAKHNAIR),33.81504893,72.25001514
2937,150,School,SCH,SCH150,GPS MONGI WALI,33.72131646,72.25654364
2938,151,School,SCH,SCH151,GPS SOJHANDA,33.75513079,72.08428067
2939,152,School,SCH,SCH152,GPS SURAG SALAR,33.70906786,72.25819309
2940,153,School,SCH,SCH153,GGES HAJI SHAH,33.87833873,72.32554948
2941,154,School,SCH,SCH154,GGES MIRZA NO.2,33.77681039,72.39814715
2942,155,School,SCH,SCH155,GGES SANJWAL CANTT,33.7910629,72.39878786
2943,156,School,SCH,SCH156,GGPS BAGH NELAB,33.75959262,72.19629194
2944,157,School,SCH,SCH157,GGPS DHOK JOGIAN,33.80764858,72.45377409
2945,158,School,SCH,SCH158,GGPS DHOK KHOSHA,33.75612052,72.2437175
2946,159,School,SCH,SCH159,GGPS FAQIR ABAD,33.83375124,72.50483571
2947,160,School,SCH,SCH160,GGPS GHOARA MAR,33.76033599,72.11079549
2948,161,School,SCH,SCH161,GGPS GOLRA,33.79016796,72.48114241
2949,162,School,SCH,SCH162,GGPS QAZI ABAD,33.81375074,72.50729799
2950,163,School,SCH,SCH163,GGPS SHEEN BAGH KALAN,33.73564889,72.32254687
2951,164,School,SCH,SCH164,GGPS SOJHANDA,33.75703275,72.09212422
